"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"ESP",2001,32811.053519212274118299,7521.445669756164399219
"ESP",2002,37699.019809630379655098,8023.052129189965839812
"ESP",2003,23315.393436016941898917,4569.252678909459138770
"ESP",2004,67273.875617476811367058,19785.671788397966889808
"ESP",2005,48955.001046478699162470,18483.965228360734162438
"ESP",2006,72719.077323397285412417,23091.342793411445636904
"ESP",2007,60256.316847673354151382,7004.147352569748757390
"ESP",2008,44287.974223991313527177,4640.503171616608836635
"ESP",2009,67544.779975563959881432,12960.912703285884670665
"ESP",2010,56093.422150209168899855,8294.351384181747318012
"ESP",2011,39325.568509627217877075,4583.690963520689035422
"ESP",2012,80495.829714422511840681,38530.890230473430684099
"ESP",2013,63955.870659621769423851,11429.133411816577665430
"ESP",2014,74226.434563672692968520,9072.587113200074264792
"ESP",2015,65413.869197355548402241,11460.038769456810379631
"ESP",2016,107562.364927234528789111,20707.005779634395680984
"ESP",2017,98458.976961274153883003,35878.795422026885817888
"ESP",2018,119649.002251489842973076,19182.435098943640831354
"ESP",2019,71021.864828321007581176,7617.119273132834805900
"ESP",2020,101988.118099400504729735,11150.843235886533105684
"ESP",2021,85791.957581091251556725,16094.528245385881115544
